bmi,sex,age,quantile,time\geo,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
25-30,F,Y_GE75,QU1,2008,28.4,37.5,44.8,43.6,41.5,46,41.5u,:,35.7,:,40,:,40.6,41.1,32.4,33.1u,50.1,30.9u
25-30,F,Y_GE75,QU2,2008,34.4,45.0u,60.7u,:c,34.4,54.7,38.8,:,31.2u,36.4,40,31.8u,43.2,43.6,26.9,:,44.7u,31.8u
25-30,F,Y_GE75,QU3,2008,34.5,50.5u,:,:c,37.1,52.4u,40.6,:,:,50.8,43.9u,:,35.8,44.7,:,:,:,25.1u
25-30,F,Y_GE75,QU4,2008,38.8,26.6u,:,:c,33.6u,:,38.8,:,:,:,30.5u,:,37.9,41.2,:,:,:,30.3u
25-30,F,Y_GE75,QU5,2008,26.3u,56.2u,:,:c,46.2u,:,56.2u,:,:,:,:,:,36.0u,32.4,:,:,:,43.2u
25-30,F,Y_GE75,TOTAL,2008,34,40.3,45.8,38.2,39.1,43.8,40.4u,30.9,33.5,39.8,37.9,27.7u,40.4,41.6,32.2,40.5,46.7,32.0u
25-30,F,Y_GE75,UNK,2008,36.2,:,48.6u,37.4,32.1u,39.9,37.5u,30.9,:,:,:,:,:,41.2,31.0u,26.9u,:,:
25-30,M,TOTAL,QU1,2008,34.2,42.6,44,39.1,33.9,42.4,44.1,:,37.7,36.2,34,44.2,40.9,37.7,49.6,48.3,42,35.1
25-30,M,TOTAL,QU2,2008,35.4,50.6,50.5,48.7,37.3,40.6,45.2,:,47.4,44.8,39.3,45.6,44.6,46.3,51.3,37.4,45.2,39.9
25-30,M,TOTAL,QU3,2008,42.4,47.4,51,43.5,38.1,43,48.1,:,44,42.9,44.3,41.6,45.2,46.4,48.7,48,45.2,40.7
25-30,M,TOTAL,QU4,2008,45,43.5,46.9,46.2,35.9,47.5,44.1,:,44.6,48.9,35.3,43.8,44.3,47.6,49.0u,54.4,42.4,39.3
25-30,M,TOTAL,QU5,2008,42.3,48.4,40.4,45.6,40.9,54.3,45.8,:,45.9,54.4u,39.8,50.2,44.1,46.3,51.2u,57.7,47.4,42
25-30,M,TOTAL,TOTAL,2008,40.8,46.4,47.1,44,38.9,46.7,45.6,39.3,44.5,44.5,39.3,44.6,44,46.3,49.9,49,44.5,39.2
25-30,M,TOTAL,UNK,2008,39.1,44.5,51,41.4,41.4,47.2,45.7,39.3,45.1,:,40.9,42.4u,:,47.7,42.6u,49.3,44,34
25-30,M,Y18-44,QU1,2008,27.9,32.5,:,28.3,23.2u,39.3u,38,:,36,26.4u,36.5,35.3u,32.5,35.6,44,47.2u,23,33.4
25-30,M,Y18-44,QU2,2008,31.6,50.4,43.3u,45.9,24.4,42,39.5,:,46.9,37.9,35.1,42,37.6,42.1,45.5,31.1,40.5,35.4
25-30,M,Y18-44,QU3,2008,35.1,48.4,51.7,40,29.1,33.3,44.7,:,37.1,36.9,38.5,40.5,36.7,43.3,43.7,46.5,39,36.1
25-30,M,Y18-44,QU4,2008,33.5,35.5,37.9,41.4,32.7,43.1,39.4,:,39.8,46.7,33.3,35.1,36.6,42.4,45.5u,46.8,39.8,35.9
25-30,M,Y18-44,QU5,2008,36.6,41.4,36.9,37.7,38.2,42.9,38.2,:,38.6,47.4u,35.1,45,35.3,43.2,:,50.7,40.4,38.4
25-30,M,Y18-44,TOTAL,2008,32.7,40.6,42.8,37.4,35.3,40.3,40.1,30.8,40.2,39.4,36.4,40.3,36,42.8,44.4,45.1,38.4,35.6
25-30,M,Y18-44,UNK,2008,28.4,35.7,49.1,32.9,38,40.3,39.6,30.8,42.0u,:,41.3,38.7u,:,44.6,39.8,45.7,35,33.4u
25-30,M,Y45-54,QU1,2008,34.0u,41.8,:,38.7,41.0u,:,46.9,:,:,37.5u,24.9,57.1u,49.1,40,58.5,61.1u,44.2u,41.4
25-30,M,Y45-54,QU2,2008,22.5u,46.2u,:,39.5,35.1u,27.2u,51.5,:,49.2,46.3,48.6,50.0u,55.3,49.1,59,44.2u,54.1,44.8
25-30,M,Y45-54,QU3,2008,35.4,52.3,34.6u,47,33.1,48.9,51.3,:,48.6,52.6,52.2,42.0u,53.4,48.9,48.6u,48.6u,54.8,51.4
25-30,M,Y45-54,QU4,2008,57,52.6,82.1u,49.6,39.1,60,50.2,:,43.4,54.9,26.5,48.7u,52.3,54.8,:,59.4u,47.6,46.9
25-30,M,Y45-54,QU5,2008,48.2,62.1,38.7u,49.5,49.2,66.9u,54.8,:,55.2,:,45.8,47.9,55.3,49.3,:,73.8u,58.1,50.4
25-30,M,Y45-54,TOTAL,2008,45.3,55.2,48.1,46.9,44.2,52.7,51.9,46.7,48.7,51.2,42.1,47.5,53.7,50.1,58.1,56.5,53.6,47.2
25-30,M,Y45-54,UNK,2008,43.9,60.4u,50.8u,48.8,53.4u,52.4,54,46.7,:,:,50.5u,46.0u,:,51,47,55.5u,62.4,:
25-30,M,Y55-64,QU1,2008,35.8u,46.4,:,40.7,29.3u,:,42,:,35.5,40.4u,33.7,41.7u,42.1,36.5,53.8,41.8u,35.1u,38.1u
25-30,M,Y55-64,QU2,2008,45.3u,49.6,55.6u,47.4,58.0u,40.3u,49,:,50.2,43,41.8,48.6u,45.3,50.3,64.3,26.4u,42.3,49.1
25-30,M,Y55-64,QU3,2008,36.4,51.9,53.4u,51.7,42.1,61.1u,50.4,:,57.5,50.4,55.1,51.9u,54.7,49.3,64.6u,:,59.1,46.8
25-30,M,Y55-64,QU4,2008,49.7,53.3,47.4u,49.7,33.3,42.1,54.4,:,63.6,48.1u,38.5,50.0u,52.8,54.2,:,:,53.1,44.4
25-30,M,Y55-64,QU5,2008,54.9,56.7,53.7u,52.9,45.2,:,57.6,:,51.8,:,53.7,64.8,52.6,51,:,54.0u,68.8u,49.1
25-30,M,Y55-64,TOTAL,2008,47.7,52.3,52.1,50.1,41.7,52.8,51.1,48.7,52.9,47.3,44.6,49.8,50,49.3,57.5,45.5,53.9,44.9
25-30,M,Y55-64,UNK,2008,48.6,:,57.2u,54.7,47.1u,55.6,50.1,48.7,:,:,39.4u,41.6u,:,48.8,42.0u,57.1u,60.9u,:
25-30,M,Y65-74,QU1,2008,46.5u,49,:,45,38,:,50,:,42.3,:,39.1,47.1u,47.3,35,53.7,:,52.8u,33.5u
25-30,M,Y65-74,QU2,2008,48.4u,51.6,:,57.5,46.6u,50.0u,52,:,46.2,56.7,34.2,47.4u,52,48.6,56.9,47.1u,48.2,50.2
25-30,M,Y65-74,QU3,2008,53.9,33.1,52.0u,43.9,43.1,54.7u,55.6,:,54.7u,43.8,47.8,38.9u,53.1,49.7,:,:,43.9,54.7
25-30,M,Y65-74,QU4,2008,55.6,56.3u,:,56.8,47.9,61.0u,49.7,:,70.4u,:,55.8u,:,56.9,50.6,:,:,:,45.6
25-30,M,Y65-74,QU5,2008,50.4u,57.3u,:,61.4,38.1,59.1u,47,:,56.9u,:,29.0u,:,59.4,54.3,:,:,:,40.9u
25-30,M,Y65-74,TOTAL,2008,50.8,49.2,53.7,52.2,42.3,52.8,51.7,47,48.5,51.2,39.9,46.7u,53.4,50.3,54.4,52.5,46.6,45.2
25-30,M,Y65-74,UNK,2008,47.5,:,:,51.2,37.5u,50.7,52.7,47,:,:,:,40.0u,:,59.2,56.8u,45.7u,:,:
25-30,M,Y_GE75,QU1,2008,38.9,43.8,:,:c,39.8,:,50.2,:,36.4,:,34.2u,:,57.3,50.9,46.4,:,68.5u,33.9u
25-30,M,Y_GE75,QU2,2008,36.2,54.7u,:,:c,38.1,45.5u,50.5,:,39.4u,47.1,42.5u,38.1u,52.6,49.2,47.2,:,51.4u,49.8
25-30,M,Y_GE75,QU3,2008,57.3,38.2u,66.7u,:c,45.1,:,55.3,:,:,62,37.3u,:,55.9,48.6,:,:,:,44.1u
25-30,M,Y_GE75,QU4,2008,45.4,:,:,:c,51.7,65.1u,50.3,:,:,:,42.8u,:,47.7,54,:,:,:,52.8u
25-30,M,Y_GE75,QU5,2008,33.3u,:,:,:c,38.0u,:,59.9u,:,:,:,:,:,33.1u,48.2,:,:,:,:
25-30,M,Y_GE75,TOTAL,2008,46.7,44.9,61.4,49.8,42.9,52.1,51.5,44.1,39,54.5,39.6,46.8u,51.6,49.3,46.8,61.5,50.4,40.9u
25-30,M,Y_GE75,UNK,2008,51.2,:,:,47.1,37.1u,52.8,52.2,44.1,:,:,:,70.0u,:,44.9,43.2u,:,:,:
25-30,T,TOTAL,QU1,2008,30.5,41.3,41.3,35.5,36.4,37.7,39,:,35.1,30.3,32.8,33.9u,36.6,35.7,43.4,41.2,38,31.4u
25-30,T,TOTAL,QU2,2008,29.2,44.8,38.6,39.3,32.5,37.4,38.4,:,38,39,36.9,39.7u,36.6,38.4,42.2,37.3,36.8,35.7
25-30,T,TOTAL,QU3,2008,36.4,42.7,42.4,37.6,33.3,37,38.5,:,36,38.1,39.8,38.4,39,38.5,38.6,42.9,35.8,35.6
25-30,T,TOTAL,QU4,2008,38.7,36.5,35.6,37.2,30.4,38.7,35.3,:,35.7,37.1,31.3,34.5,36.1,38.2,38,43,34.1,34.3
25-30,T,TOTAL,QU5,2008,31.7,37.3,35.1,37.1,31.8,39.4,35.6,:,33.8,40.2,33.9,40.2,34.8,36.3,44.7,39.5,35.5,35.8
25-30,T,TOTAL,TOTAL,2008,33.5,39.3,38.3,36.3,32.5,38.7,37.3,31.4,35.7,38,34.9,36.8u,36.5,37.6,42.4,39.8,35.6,34.4
25-30,T,TOTAL,UNK,2008,32.7,32.1,39,33.5,32.3,39.5,36.7,31.4,30.2,:,32.1,34.3u,:,37.5,37.1,37.9,33.9,25.2u
25-30,T,Y18-44,QU1,2008,26.3,29,29.6u,24.2,20,30.2,31.6,:,23.8,21.8,27.2,26.4u,25.7,27.3,36.1,34.4,22.3,28.2u
25-30,T,Y18-44,QU2,2008,21.3,34.7,22.4,35.2,19.2,28.9,31.4,:,33.7,33.9,28,32.0u,27.3,31.4,34.6,25.7,25.7,30.2
25-30,T,Y18-44,QU3,2008,28.6,37.2,33.7,32.6,23.7,27.4,33.9,:,27.6,30.7,29.9,37.1,31.6,31.2,30.9,38.9,28.6,31.1
25-30,T,Y18-44,QU4,2008,29.6,27.6,27.9,32.1,25.1,32,30.5,:,30.2,32.8,25.4,28.1,28.1,31.1,34.1,34,29,30.7
25-30,T,Y18-44,QU5,2008,26.8,27.8,28.2,30.6,28.2,26.7,27.4,:,25.4,34.7,27.3,31.7,27.3,30.3,33.7u,33.7,28.2,31
25-30,T,Y18-44,TOTAL,2008,26.3,29.3,29.7,29.2,26.2,30,30.8,24.2,28.6,31.7,27.7,31.1,28,30.6,34.8,33.2,27.2,30.1
25-30,T,Y18-44,UNK,2008,24.2,23.2,32.8,24.3,26.9,30.8,29.6,24.2,23.1,:,28.3,28.9u,:,30.3,29.8,32.8,23.5,20.2u
25-30,T,Y45-54,QU1,2008,26.6,45,:,33.4,38.1,34.8u,38.1,:,30.9,30.4,22.9,46.7,40.1,35,50.4,50.3u,39.4,39.1u
25-30,T,Y45-54,QU2,2008,24.2,38.2,:,33.4,34.2,26.4,42.5,:,37.3,38,43.6,47.2,42.7,40.4,54.2,41.1,42.8,43.7u
25-30,T,Y45-54,QU3,2008,34.2,48.7,46.8u,40.2,34.2,40.6,39.1,:,45.2,44.2,48.4,37.7u,41.3,42.2,48.3,41.7,43.2,46.2
25-30,T,Y45-54,QU4,2008,42.9,48.8,58.1,41.3,34.3,52.3,39.6,:,37.6,45.8,30.1,45.2,43.9,45.2,65.3u,50.4,40.1,44.2
25-30,T,Y45-54,QU5,2008,36,48.4,44.3,39,38.2,59.5,43.1,:,42.2,:,39.1,45.5,41.6,43.4,:,47.3,48.3,44.6
25-30,T,Y45-54,TOTAL,2008,35.7,47.1,46.5,38,37,43.5,41.1,35.2,40.4,42.4,37.6,43.4u,42,42.7,52.2,45.4,43.7,43.6
25-30,T,Y45-54,UNK,2008,34.9,43.8,48.4,37.6,43.1,40.3,42.7,35.2,41.7u,:,40.9,41.9u,:,43.8,52.6,44.2,49.9,32.6u
25-30,T,Y55-64,QU1,2008,24.1,44.7,53.0u,37.6,32.7,48.1u,39.6,:,37.6,35.8u,35.1,28.8u,38.9,35.3,51.8,40.5,30.1,38.0u
25-30,T,Y55-64,QU2,2008,33.7,52.9,48.7,39.4,46.3,49.7,42.5,:,45.9,40.1,40,39.5u,42.4,42.9,55.8,38.5,40.5,47.7
25-30,T,Y55-64,QU3,2008,37.3,47.3,44.4,42.9,33.9,55.8,46,:,51.2,48.4,50.1,51.6,48.4,44.3,52.5,56.3u,47.2,44.4
25-30,T,Y55-64,QU4,2008,42.3,45.5,42,43.6,35.3,38.6,48.2,:,54.8,43,44.4,34,46.1,47.4,:,48.0u,53.7,35
25-30,T,Y55-64,QU5,2008,46.6,54.9,49.3u,45.6,40.5,44.3,50.6,:,43.4,:,54.5,57.5,45.8,44.7,:,42.2u,55.5,47.3
25-30,T,Y55-64,TOTAL,2008,40.6,49.1,47.4,42.2,37.5,47.9,45.1,40.2,46.6,44.1,43.8,40.9u,44.4,43.6,52.7,43,45.8,42.2
25-30,T,Y55-64,UNK,2008,41.8,47.6u,50.9,43.4,43.4u,49.5,44.1,40.2,47.7u,:,38.9,35.3u,:,43.8,43.2u,42,56.2,:
25-30,T,Y65-74,QU1,2008,45.9,47.8,40.8,40.4,40.4,42.4,45.6,:,44.1,:,42.6,37.3u,49.2,41.9,50.1,49.5,38.9,34.9u
25-30,T,Y65-74,QU2,2008,36.2,49.5,43.9u,47.2,46.3,47.6,49.4,:,44.9,45.4,46.1,49.3u,45.1,43.6,50.3,44.8,49.2,49.0u
25-30,T,Y65-74,QU3,2008,44.3,44.5,48.2,44.4,40.4,47.5,49.7,:,51.2,43.8,50,29.4u,48.6,46.8,55.4u,45.5u,41.4,47.4u
25-30,T,Y65-74,QU4,2008,53.5,54.3,:,46.3,40.3,49.5,43.2,:,55.4u,59.3u,39.9,58.8u,48.1,45.7,:,:,40.8u,44.3
25-30,T,Y65-74,QU5,2008,39.6,56.4,:,52.4,31.6,56.4u,46.5,:,56.3u,:,33.1u,43.3u,57.7,48.8,:,:,:,34.6
25-30,T,Y65-74,TOTAL,2008,43.5,49.3,44.7,45,39.6,48,47.1,39.3,46.3,45.7,43.6,41.0u,48.6,46.1,50.2,49.4,44,42.7u
25-30,T,Y65-74,UNK,2008,39.3,:,43.0u,44.8,35.5u,47.6,45.1,39.3,:,:,31.5u,36.5u,:,51.4,52.2u,46.4,57.2u,:
25-30,T,Y_GE75,QU1,2008,31.2,39.7,47.1,48.9,41.3,45.1,44.7u,:,36,:,39,32.3u,43.7,42.3,37.5,34.2,53.9,32.4u
25-30,T,Y_GE75,QU2,2008,35,50.5,62.7u,43.6,35.7,50.6,44.6,:,35.4,39.1,41.1,34.9u,46.8,45.6,36.7,63.7u,47.5,40.5u
25-30,T,Y_GE75,QU3,2008,44.9,44.6,54.8u,34.4,41.2,45.6,47.4,:,37.3u,54.9,41,26.3u,46.3,46.5,52.9u,:,35.0u,33.3u
25-30,T,Y_GE75,QU4,2008,42.5,29.6u,:,:c,39.1,61.1u,45,:,:,:,36.7u,:,43,46.7,:,:,:,40.4u
25-30,T,Y_GE75,QU5,2008,30.1,54.1u,:,:c,43.6,:,57.7u,:,:,:,32.6u,:,34.5,38.3,:,:,:,39.8u
25-30,T,Y_GE75,TOTAL,2008,38.9,42,51.3,42.6,40.2,47.3,45.2,36,35.8,44,38.5,36.9u,44.3,44,37.7,47.7,47.9,36.2u
25-30,T,Y_GE75,UNK,2008,41.3,:,47.9u,40.9,33.6,45.7,43.7u,36,:,:,23.0u,41.2u,:,42.2,35.7u,38.2u,:,:
GE30,F,TOTAL,QU1,2008,17.7,16.4,24.9,22.5,27.1,17.8,24.2,:,21.6,21.9,22.7,31.9u,16.7,19.7,8.4,24.6,29.2,21.8u
GE30,F,TOTAL,QU2,2008,19.5,12.9,25.6,18.5,22.3,18.4,18,:,16.7,26.7,20.8,28.3u,14,19.3,7.9,18.6,17.1,19.5u
GE30,F,TOTAL,QU3,2008,22.1,11,21.6,18.2,25.3,13.7,15.1,:,13.2,19.7,18.5,18.7,14.4,17,6,15.8,13.7,20
GE30,F,TOTAL,QU4,2008,17.8,10.5,16.2,11.6,22.9,14.2,10,:,12.2,11.9,17.9,22.4,12.6,13.6,5.1,13,12.7,19.5
GE30,F,TOTAL,QU5,2008,8.9,8,10.1,9.8,14.9,11.6,5.7,:,8.4,9.2u,14.5,14.5,8.3,13.2,6.3u,8.6,10.4,17.5
GE30,F,TOTAL,TOTAL,2008,14.7,11.3,18.3,15.6,20.5,17.6,14.4,12.7,14.5,20.9,18.8,21.1u,13.2,15.8,8,16.3,15.7,19.8u
GE30,F,TOTAL,UNK,2008,12,6.9,16.3,13.2,11.2,20.5,11.7,12.7,8.8,:,15.5,18.9u,:,14.2,6.3,16.7,8.6,13.7u
GE30,F,Y18-44,QU1,2008,7.1,5.5,:,15.2,10.3u,7.7,12.9,:,6,17.2u,13,13.9u,8.1,7.4,3.3,11.0u,8.8,16.3u
GE30,F,Y18-44,QU2,2008,18,4,21.0u,11.2,7,6.2,10.9,:,8.6,7.9,11.4,20.8u,8.1,8.2,4,12.7,8.9,13.8
GE30,F,Y18-44,QU3,2008,14.1,4.5,7,14.6,10.3,6.6,9.7,:,9.4,7.5,14.4,14.1,8.2,6.8,4.2,8.6,5.2,13.5
GE30,F,Y18-44,QU4,2008,13.9,7.8,10.1,8.7,12.6,7.2,5.9,:,7.7,6.2,11,19.3,9,5.5,2.3u,10.4,7.2,10.7
GE30,F,Y18-44,QU5,2008,8.7,4.9,6.3,:c,6.9,2.7,4.8,:,4.6,4.2u,8.6,12.3,6.2,4.8,:,2.7,4,9.1
GE30,F,Y18-44,TOTAL,2008,10.4,5.3,9.1,10,8.3,7.9,8.3,9,7.6,7.4,10.6,14.3,7.9,6.1,3.6,8.6,6.1,13
GE30,F,Y18-44,UNK,2008,7.9,2.6,8.7,7.8,3.7,10.2,7.2,9,7.5u,:,3.6,11.2u,:,5.8,2.5,10.1,3.6,6.4u
GE30,F,Y45-54,QU1,2008,14.2u,13.9,:,22,22.7u,15.3u,25.5,:,24.9,12.3u,27.9,29.2u,21.9,14.6,14.5,:,21.9u,38.4u
GE30,F,Y45-54,QU2,2008,12.6u,10.5u,:,21.6,28.7,26.9u,14.8,:,20.1,31.6,24,23.5u,13.2,19.2,12.6,22.3u,12.1,32.2u
GE30,F,Y45-54,QU3,2008,22.8,14.3,21.8u,22.3,22.1,24.6,19.8,:,19.9,27.9,23.5,25.7u,17.2,18.4,9.2,28.3u,16.2,36.4
GE30,F,Y45-54,QU4,2008,19.7,9.1,31.2u,12.3,29.2,15.9,15.3,:,15.6,21.8,17.9,16.0u,13.3,17.5,:,22.9u,22.5,33.9
GE30,F,Y45-54,QU5,2008,6.6,7.5,13.5u,11.7,24,16,6.9,:,11.3,:,22.5,15.7,8.9,17,:,13.6u,16.1,30.3
GE30,F,Y45-54,TOTAL,2008,13.9,10.6,20.2,15.8,24.4,22.8,14.6,12.7,17.2,26.9,23.2,21.2u,14.2,17.9,13.3,19.5,17,34.2u
GE30,F,Y45-54,UNK,2008,13.3,21.4u,16.2u,11.7,15.7u,26.5,11.6,12.7,:,:,25.4u,21.1u,:,18.8,12.9,9.5u,15.2u,:
GE30,F,Y55-64,QU1,2008,39.5,20.3,:,30.1,43.9,25.7u,30.8,:,29.7,39.6u,27.2,37.1u,26.4,29.4,13.2,41.8u,38.9,30.9u
GE30,F,Y55-64,QU2,2008,38.4,17.6,24.5u,23,36.0u,23.4,28.4,:,26.6,34,39.9,34.2u,24.2,30.6,16.3,23.1u,28.1,31.8u
GE30,F,Y55-64,QU3,2008,24.8,20.4,29.1,:c,38.9,20.9,23.8,:,18.9,35.8,23.7,16.2u,21.5,29,8.1u,:,28.9,36.9u
GE30,F,Y55-64,QU4,2008,23.3,16,29.7u,:c,41.5,30.4,12.7,:,22.9,46.4u,25.4,34.6u,20.1,28.1,:,:,24.0u,49.9
GE30,F,Y55-64,QU5,2008,12.4,18.6,23.9u,:c,31,25.4u,4.7,:,12.5,:,15.1,24.2u,19.2,30,:,:,52.0u,28.3
GE30,F,Y55-64,TOTAL,2008,21.1,18.4,29.3,21.5,37.7,26.6,20.2,17.8,22.8,35.9,27.5,28.7u,22.6,28.4,14.1,28,30.7,35.4u
GE30,F,Y55-64,UNK,2008,15.3,:,35.4u,19.1,27.7u,28,14.9,17.8,:,:,42.7u,28.1u,:,25.1,13.4u,28.6u,23.6u,:
GE30,F,Y65-74,QU1,2008,20.3,21,39.7u,30.5,31.3,33.4u,32.6,:,29.3,:,32.1,47.1u,23.1,26.6,10.6,24.9u,42,30.8u
GE30,F,Y65-74,QU2,2008,18.2,20.2,37.4u,18.7,28.4,38.9,27.8,:,25.7,36.6,25.8,31.0u,19.4,31.3,13.2,22.4u,26.5,30.7u
GE30,F,Y65-74,QU3,2008,34.1,7.2,34.5u,:c,39.7,28.1u,23.8,:,16.1u,36.2,14.5,:,17.1,27.4,:,:,35.0u,35.6u
GE30,F,Y65-74,QU4,2008,21.2,14.4u,:,:c,30.1,30.7u,20.4,:,:,14.2u,43.4u,:,22.7,25.9,:,:,:,30.9
GE30,F,Y65-74,QU5,2008,21.6u,20.0u,:,:c,41,:,8.1u,:,:,:,23.0u,:,6,26.4,:,:,:,54.6u
GE30,F,Y65-74,TOTAL,2008,21.5,18.9,35.9,21.7,33.8,32.4,26.8,17.8,26.6,35.3,26,31.9u,19.6,27.6,10.8,24.2,33.7,33.4u
GE30,F,Y65-74,UNK,2008,15.7,:,:,16.9,25.1u,31.8,24.7,17.8,:,:,:,23.1u,:,26.5,5.0u,30.5u,13.9u,:
GE30,F,Y_GE75,QU1,2008,19.1,15.4,22.5,:c,19.9,22,27.5u,:,21,:,19.2,:,15.8,19.6,7.3,19.8u,24.7,18.4u
GE30,F,Y_GE75,QU2,2008,15.1,14.3u,22.1u,:c,30.2,18.6,26.5,:,27.7u,29,13.9,45.5u,14.6,22.7,9,:,20.1u,19.5u
GE30,F,Y_GE75,QU3,2008,20.8,16.7u,:,:c,23.4,6.8u,19.6,:,:,24.8,25.7u,:,26.2,23.5,:,:,:,5.4u
GE30,F,Y_GE75,QU4,2008,16,24.5u,:,:c,31.9u,:,33.9,:,:,:,21.0u,:,12,19.5,:,:,:,26.2u
GE30,F,Y_GE75,QU5,2008,1.0u,11.1u,:,:c,33.8u,:,17.1u,:,:,:,:,:,11.9u,28.8,:,:,:,31.5u
GE30,F,Y_GE75,TOTAL,2008,17,15.5,24.5,19.6,23.6,20,24.7u,14.9,22.4,27.7,21.5,30.1u,15.9,21.4,7.7,18.7,22.5,18.9u
GE30,F,Y_GE75,UNK,2008,16.2,:,18.4u,:c,20.7u,21.2,16.3u,14.9,:,:,:,:,:,20,18.7u,25.9u,:,:
GE30,M,TOTAL,QU1,2008,11.7,11.6,19.5,20.9,11.1,18.8,20.4,:,17.9,7.6,20.5,27.4,12.9,14.6,6.9,23.6,14.8,11.3
GE30,M,TOTAL,QU2,2008,13.5,7.9,22.4,19.2,12,20.9,19,:,16.5,12.8,24.4,26.9,13.1,18.6,8.4,27,17.1,13.5
GE30,M,TOTAL,QU3,2008,15.6,12.3,22,19.2,16.1,18,18.9,:,18.2,12.4,20.3,27.9,14,18.4,5.4,19.8,14.4,12.7
GE30,M,TOTAL,QU4,2008,13.5,15.2,22,16.1,20.5,17.7,17.2,:,16.3,11.2,23.6,22.9,12.6,15.8,7.9u,18,15.7,12.8
GE30,M,TOTAL,QU5,2008,12,11.1,12.3,12,16.7,14.7,13.6,:,14,8.4u,19.7,19.2,10.1,17.2,8.8u,9.2,12.7,15.5
GE30,M,TOTAL,TOTAL,2008,13.3,11.6,18.4,16.1,16,17.6,17,11.7,16.7,12,21.4,24.7,12.4,17.3,7.6,17.3,14.5,13
GE30,M,TOTAL,UNK,2008,13.5,8.5,16.6,12.9,10.7,17.5,13.3,11.7,20.4,:,19.7,25.9u,:,17.9,10.4u,12.1,10.7,9.5
GE30,M,Y18-44,QU1,2008,11.5,9.7,:,16.2,4.9u,18.8u,13.2,:,5.5,12.9u,11,17.7u,6.7,8.9,4.3,26.7u,16.2,7.7
GE30,M,Y18-44,QU2,2008,6.4,3.3,9.7u,13.6,12.5,10.5,14.8,:,11.9,7,14.9,24,6.9,11.6,5.8,16.9,11.3,10.2
GE30,M,Y18-44,QU3,2008,9.8,8.5,10.5,11.6,13.4,12.6,16,:,14.6,8,15.7,25.2,10,12.5,4.3,14,8.1,8.6
GE30,M,Y18-44,QU4,2008,11.4,16.1,21.3,14.5,13.1,13.7,13.3,:,12,7.6,17.3,19.5,10.6,11,2.2u,16.2,10.6,9.2
GE30,M,Y18-44,QU5,2008,9.2,7.7,8.4,9.6,13.3,14.1,11.3,:,8.9,5.7u,11.9,15,7.8,11.7,:,8.4,10.2,11.1
GE30,M,Y18-44,TOTAL,2008,9.8,9.4,12.6,11.6,12.3,13,13.1,7.2,11.7,7.8,13.5,19.5,8.6,11.5,5.2,12,10.3,9.2
GE30,M,Y18-44,UNK,2008,10.1,8.7,11,8.8,7.5,12.6,9.4,7.2,15.5u,:,7.3,18.5u,:,12,8.8,5.9,10.5,4.9u
GE30,M,Y45-54,QU1,2008,23.1u,7.9,:,:c,2.7u,:,22,:,:,2.8u,33.6,23.8u,19.6,16.3,7.6,11.1u,17.2u,17.8
GE30,M,Y45-54,QU2,2008,26.7u,10.2u,:,:c,21.1u,25.4u,20.8,:,18.8,10.9,25.4,29.0u,14.3,22.6,13.8,47.3u,15.9,22.5
GE30,M,Y45-54,QU3,2008,16.9,11.4,43.1u,24.9,21.3,19.9,23.7,:,20.7,16.1,27,30.0u,19.2,25.1,14.5u,30.8u,18.1,18.6
GE30,M,Y45-54,QU4,2008,12.4,15.7,11.2u,17.2,25.3,12.4,23.4,:,21.9,17.5,39.2,27.0u,12.8,22.4,:,26.1u,21.8,24.4
GE30,M,Y45-54,QU5,2008,15,14.9,22.8u,14,22.4,18.2u,15,:,19.6,:,34.1,27.1,12.5,25,:,4.5u,15.8,21.9
GE30,M,Y45-54,TOTAL,2008,15.6,12.9,23.9,19.6,20.2,18.8,19.6,14.5,20.5,14.4,31.6,27.6,14.6,23.4,10.7,22.7,16.5,20.8
GE30,M,Y45-54,UNK,2008,14.5,7.1u,23.2u,18.6,15.8u,20.2,13.8,14.5,:,:,32.0u,27.0u,:,25.1,12.5,15.9u,4.2,:
GE30,M,Y55-64,QU1,2008,7.4u,16.8,:,:c,19.6u,:,30.7,:,34.8,5.6u,24.8,41.7u,25.9,18.4,10.6,27.6u,18.7u,18.5u
GE30,M,Y55-64,QU2,2008,15.7u,13.5,35.9u,30.2,2.1u,45.9u,26.5,:,24,21.9,28.1,31.4u,21.5,25.3,11,42.5u,31.4,21.6
GE30,M,Y55-64,QU3,2008,33.2,20.9,32.3u,:c,22.4,24.4u,22.8,:,20.8,18.1,19.3,25.9u,21.4,24.4,:,:,20.4,24.8
GE30,M,Y55-64,QU4,2008,19.2,16.7,39.4u,23.9,37.1,40.1,29,:,23.6,26.5u,29.6,25.0u,21.2,23,:,:,27.2,11
GE30,M,Y55-64,QU5,2008,20.6,16.9,12.1u,16.8,23.4,:,19.5,:,21.5,:,22,24.1,13.8,25.9,:,19.3u,13.9u,21.8
GE30,M,Y55-64,TOTAL,2008,22.3,16.9,29.6,23.2,23.1,27.2,24.8,15.6,23.8,19.5,25.3,31.5,20.1,24,10.7,26.6,22.8,20
